"bill_id","status","title","link_id","proposer_type","proposed_date","decision_date","decision_result","has_summaries","status_detail"
"1904326","1","영유아보육법 일부개정법률안(신의진의원 등 10인)","PRC_F1R3Y0M3W2E9Q1X1J5G9X2S1C1A9D8","의원","2013-03-29","","","1","소관위접수"
"1904327","1","어린이 식생활안전관리 특별법 일부개정법률안(신의진의원 등 10인)","PRC_J1A3W0R3A2I9R1G3Y0P6J4B8V5N1V5","의원","2013-03-29","","","1","소관위접수"
"1904328","1","도로교통법 일부개정법률안(신의진의원 등 12인)","PRC_J1H3U0E3R2I9H1Z3U4B4A0G0T9Q7Z0","의원","2013-03-29","","","1","소관위접수"
"1904329","1","공직자윤리법 일부개정법률안(김한표의원 등 10인)","PRC_D1G3I0C3K2N9O1L4G2O3C4H2G8P6H3","의원","2013-03-29","","","1","소관위접수"
"1904330","1","참전유공자예우 및 단체설립에 관한 법률 일부개정법률안(윤호중의원 등 87인)","PRC_E1Q3X0F3W2B9A1T4P3O3R3P7O2R3N2","의원","2013-03-29","","","1","소관위접수"
"1904331","1","소방시설 설치·유지 및 안전관리에 관한 법률 일부개정법률안(유대운의원 등 15인)","PRC_Q1F3H0N3H2J9H1L4I4M1U2E8F7K4E6","의원","2013-03-29","","","1","소관위접수"
"1904332","1","도로교통법 일부개정법률안(박성호의원 등 12인)","PRC_E1V3F0M3C2G9R1X4L4K2C5X4T2N2T6","의원","2013-03-29","","","1","소관위접수"
"1904333","1","지방자치법 일부개정법률안(유대운의원 등 15인)","PRC_B1G3R0A3G2C9D1S4H4E3R0D4K6A9Z5","의원","2013-03-29","","","1","소관위접수"
"1904334","1","북핵 문제 해결과 동북아 다자간안보체계 구축을 위한 촉구 결의안(최재성의원 등 33인...","PRC_L1V3N0P3W2R9D1S6Y2W9T5X3O8J1J1","의원","2013-03-29","","","0","소관위접수"
"1904335","1","지진재해대책법 일부개정법률안(백군기의원 등 12인)","PRC_V1W3J0U3T2C9Z1B7B0V7H0J1B6H0Q2","의원","2013-03-29","","","1","소관위접수"
"1904336","1","주택법 일부개정법률안(이윤석의원 등 10인)","PRC_I1A3P0E3G2P9A1I7C1A0Y5T1I1I6B5","의원","2013-03-29","","","1","소관위접수"
"1904337","1","북한인권법안(심윤조의원 등 16인)","PRC_K1Q3X0Q3C2L9K1U7F2H2M4M7L0Z3R5","의원","2013-03-29","","","1","소관위접수"
"1904338","1","고용정책 기본법 일부개정법률안(김광진의원 등 12인)","PRC_S1L3T0G3D2L9M1C7F4K8A2M4T7J6B8","의원","2013-03-29","","","1","소관위접수"
"1904339","1","공공기관의 운영에 관한 법률 일부개정법률안(김광진의원 등 12인)","PRC_R1D3A0B3P2Y9O1X7J5W0E0V8L8J2Y6","의원","2013-03-29","","","1","소관위접수"
"1904340","1","국세징수법 일부개정법률안(김재경의원 등 14인)","PRC_U1V3X0I3K2Y9N1Y7N5Q4C4L8N9W4J6","의원","2013-03-29","","","1","소관위접수"
"1904341","1","지방세기본법 일부개정법률안(김재경의원 등 14인)","PRC_Q1W3X0T3K2K9C1T7Y5C5Q2N8X5M3K1","의원","2013-03-29","","","1","소관위접수"
"1904342","1","공인중개사의 업무 및 부동산 거래신고에 관한 법률 일부개정법률안(김재경의원 등 15...","PRC_O1O3N0H3I2A9N1Q7Z5U7K0I2I1T7I1","의원","2013-03-29","","","0","소관위접수"
"1904343","1","통신비밀보호법 일부개정법률안(이진복의원 등 10인)","PRC_L1I3M0H4O0E1L0N9B5Q9L0U1J6Q9C9","의원","2013-04-01","","","1","소관위접수"
"1904344","1","소프트웨어산업 진흥법 일부개정법률안(노영민의원 등 10인)","PRC_S1E3I0M4V0E1B1T3U2Q5R5Y7J2E1Y2","의원","2013-04-01","","","1","소관위접수"
"1904345","1","영유아보육법 일부개정법률안(이한성의원 등 10인)","PRC_N1J3O0K4Q0R1U1R3J3B3L3W9W7C4J3","의원","2013-04-01","","","1","소관위접수"
"1904346","1","에너지이용 합리화법 일부개정법률안(김태원의원 등 10인)","PRC_L1T3N0Q4A0P1R1B3F3X7J2V8P2L4D9","의원","2013-04-01","","","1","소관위접수"
"1904347","1","검찰청법 일부개정법률안(김동철의원 등 13인)","PRC_B1Y3I0I4U0K1Y1R3Y4Z5I2U0R4F7C7","의원","2013-04-01","","","0","소관위접수"
"1904348","1","국회에서의 증언·감정 등에 관한 법률 일부개정법률안(홍영표의원 등 10인)","PRC_U1P3H0V4R0S1P1G3G4Y9N0M1H0J2N3","의원","2013-04-01","","","1","소관위접수"
"1904349","1","국민연금법 일부개정법률안(이목희의원 등 10인)","PRC_X1I3Q0Q4X0C1Y1U4P3H7W1X2J3R9J2","의원","2013-04-01","","","1","소관위접수"
"1904350","1","도로교통법 일부개정법률안(전병헌의원 등 34인)","PRC_U1G3K0O4B0I1Y1X5J0Y2E3F8S3Z9P8","의원","2013-04-01","","","1","소관위접수"
"1904351","1","소득세법 일부개정법률안(박영선의원 등 10인)","PRC_O1X3U0D4N0N1H1F5D3X0Q3M9Z7R5Q1","의원","2013-04-01","","","1","소관위접수"
"1904352","1","시민사회 공익활동가 공제회법안(김현미의원 등 42인)","PRC_R1F3O0K4D0T1J1S6G5H9L5V1N8M9Z2","의원","2013-04-01","","","1","소관위접수"
"1904353","1","국회의원(심재철) 징계안(유승희의원 등 20인)","PRC_B1R3Q0Z4B0P1P1U7O3U2R5H3X4C1A6","의원","2013-04-01","","","0","소관위접수"
